run,ebeam,target,hms_p,hms_th,shms_p,shms_th,run_type,x,Q2,z,thpq,BCM1_Q,BCM1_I,BCM2_Q,BCM2_I,BCM4A_Q,BCM4A_I,BCM4B_Q,BCM4B_I,BCM4C_Q,BCM4C_I,h_esing_Eff,h_hadron_Eff,p_esing_Eff,p_hadron_Eff,ps1,ps2,ps3,ps4,ps5,ps6,comp_livetime,electr_deadtime,coin,randoms,ransubcoin,normyield,normyield_err,ctmean,ctsigma,boil_corr,IHWP,coinblock_ratio,BCM2_Q_hp,BCM2_Q_hm,h_EL_CLEAN,p_EL_CLEAN
27134,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,25263.442,27.636,25169.056,27.533,22159.356,24.241,137197.024,150.083,34536.556,37.78,0.9998,0.9989,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-999,95.6126,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,728013.0,252155022.0
27135,6.449,Dummy,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,81.438,41.304,81.167,41.166,71.899,36.466,298.952,151.623,112.162,56.886,0.999,0.9979,0.9859,0.9773,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0256,613.0,145.769,467.231,5.9109,0.316074,51.2692,0.408001,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,823721.0,328931040.0
27136,6.449,Dummy,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,80.818,41.327,80.462,41.145,71.247,36.432,296.337,151.533,110.979,56.75,0.9988,0.9981,0.9863,0.9765,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99997,0.0255,585.0,147.154,437.846,5.59338,0.311955,51.2703,0.449082,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,817357.0,325983609.0
27137,6.449,Dummy,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,79.215,41.355,78.858,41.169,69.384,36.223,290.339,151.575,107.984,56.374,0.9985,0.998,0.986,0.977,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99998,0.0256,613.0,143.154,469.846,6.12304,0.325543,51.3404,0.371945,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,801637.0,319220650.0
27138,6.449,Dummy,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,37057.18,40.718,36897.56,40.542,32450.888,35.656,136568.574,150.059,50556.741,55.551,0.9998,0.9989,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-999,97.4543,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,375370.0,149392966.0
27139,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,46.425,27.471,46.243,27.363,40.879,24.189,251.759,148.971,63.754,37.725,0.9982,0.997,0.9826,0.9747,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99992,0.0439,1096.0,395.846,700.154,15.6216,0.748837,51.2507,0.422838,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1336470.0,463893395.0
27140,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,50.084,27.772,49.917,27.68,44.078,24.442,271.797,150.717,68.655,38.071,0.9979,0.9969,0.9831,0.9751,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99988,0.0438,1264.0,428.615,835.385,17.2648,0.744285,51.2414,0.403273,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1443539.0,500641444.0
27141,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,50.787,27.737,50.577,27.623,44.411,24.255,275.191,150.295,69.144,37.763,0.9979,0.997,0.9834,0.975,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9999,0.044,1277.0,444.154,832.846,16.9897,0.73867,51.3125,0.442923,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1461139.0,506726286.0
27142,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,51.764,28.061,51.512,27.924,45.268,24.539,280.45,152.029,70.551,38.245,0.9982,0.9967,0.984,0.9734,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99989,0.0441,1252.0,460.385,791.615,15.8767,0.719623,51.2817,0.393068,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1488422.0,515958927.0
27143,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,50.609,27.834,50.38,27.708,44.569,24.512,274.498,150.968,69.519,38.234,0.9978,0.9973,0.984,0.974,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99992,0.0439,1279.0,431.077,847.923,17.3842,0.742663,51.219,0.413083,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1454646.0,504924931.0
