!-------------------------------------------------------------------------------------------------------------------------------------------------------------
!**********************HMS NMR not locking from this point on!! Setting by current. Buyer beware!***************************************************************
!**********************BELOW:SHMS calorimeter crate was in a weird state so will require different parameters when replaying:BELOW**********************************************
!**********************ABOVE:SHMS calorimeter crate was in a weird state so will require different parameters when replaying:ABOVE**********************************************
!****** Changed SHMS polarity for pi+**********************
!*****Starting z=0.5 (pi+ setting)*******************
!**********Start positron background measurements****************************
!** Done with positrons. Starting z=0.5, theta_pq=5.2 degrees, pi+ production
!***** switch to pi-
!24186	  07/25	     08:20	  8.565	10     LD2	-1.531	29.05	+6.538	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS	Starting pi+ running (z=0.9)
24252	  07/26	     20:17	  8.565	35     LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24253	  07/26	     20:48	  8.565	35     LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24254	  07/26	     21:19	  8.565	35     LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24255	  07/26	     21:50	  8.565	35     LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24257	  07/26	     22:43	  8.565	50     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24258	  07/26	     23:14	  8.565	50     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24259	  07/26	     23:45	  8.565	50     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24260	  07/27	     00:15	  8.565	50     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24261	  07/27	     00:46	  8.565	50     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24262	  07/27	     01:15	  8.565	50     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24263	  07/27	     01:47	  8.565	33     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
24264	  07/27	     02:18	  8.565	17     LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,-1,-1,0	PI+SIDIS  	0
