!-------------------------------------------------------------------------------------------------------------------------------------------------------------
!**********************HMS NMR not locking from this point on!! Setting by current. Buyer beware!***************************************************************
!**********************BELOW:SHMS calorimeter crate was in a weird state so will require different parameters when replaying:BELOW**********************************************
!**********************ABOVE:SHMS calorimeter crate was in a weird state so will require different parameters when replaying:ABOVE**********************************************
!****** Changed SHMS polarity for pi+**********************
!*****Starting z=0.5 (pi+ setting)*******************
!**********Start positron background measurements****************************
!** Done with positrons. Starting z=0.5, theta_pq=5.2 degrees, pi+ production
!***** switch to pi-
24003	  07/20	     16:37	  8.565	35     Carbon	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
24004	  07/20	     17:08	  8.565	18     Carbon	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
24005	  07/20	     17:54	  8.565	40     Copper	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
24006	  07/20	     18:25	  8.565	40     Copper	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
24007	  07/20	     18:56	  8.565	40     Copper	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
24008	  07/20	     19:27	  8.565	40     Copper	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
24009	  07/20	     19:36	  8.565	40     Copper	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
24010	  07/20	     20:18	  8.565	40     Copper	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	After 57k,beam was off about 13min;hMMpi->no events in histogram
24011	  07/20	     21:22	  8.565	40     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
24012	  07/20	     21:54	  8.565	40     LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,-1,-1,0	PI-SIDIS	0
